type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-IA,Randolph,1IA6,1IA6,"40.8849983215332, -95.48529815673828",1IA6,Aero-Lane Airport,1134
heliport,NA,US,US-IA,Iowa City,1IA7,1IA7,"41.65999984741211, -91.54769897460938",1IA7,University of Iowa Hospitals & Clinic Heliport,840
heliport,NA,US,US-ID,Horseshoe Bend,1ID2,1ID2,"43.914398193359375, -116.1969985961914",1ID2,Horseshoe Bend Heliport,2300
small_airport,NA,US,US-ID,Sandpoint,1ID3,1ID3,"48.167999267578125, -116.72699737548828",1ID3,Beaux Ranch Field,2079
small_airport,NA,US,US-ID,Oasis,1ID4,1ID4,"43.3105555556, -115.9025",1ID4,Red Baron Airpark,3259
heliport,NA,US,US-ID,Ketchum,1ID5,1ID5,"43.64860153198242, -114.3479995727539",1ID5,St Luke's Wood River Medical Center Heliport,5737
heliport,NA,US,US-ID,Kimberly,1ID6,1ID6,"42.58580017089844, -114.35700225830078",1ID6,Sligars Landing Heliport,3800
small_airport,NA,US,US-ID,Eden,1ID7,1ID7,"42.587799072265625, -114.33399963378906",1ID7,Fairbanks Airfield,3830
heliport,NA,US,US-ID,Gooding,1ID8,1ID8,"42.93330001831055, -114.70800018310547",1ID8,Gooding County Memorial Hospital Heliport,3600
small_airport,NA,US,US-ID,Inkom,1ID9,1ID9,"42.780601501464844, -112.1709976196289",1ID9,Skyline STOLport,6150
small_airport,NA,US,US-IN,Homer,1II0,1II0,"39.576698303222656, -85.58779907226562",1II0,Webster Airport,910
small_airport,NA,US,US-IN,Geneva,1II2,1II2,"40.61579895019531, -84.83480072021484",1II2,Adams Airport,850
small_airport,NA,US,US-IN,Carlisle,1II3,1II3,"38.957000732421875, -87.39420318603516",1II3,Davis Airport,500
small_airport,NA,US,US-IN,Corydon,1II4,1II4,"38.125099182128906, -86.16220092773438",1II4,Amy Airport,665
small_airport,NA,US,US-IN,Culver,1II5,1II5,"41.24729919433594, -86.50309753417969",1II5,Van De Mark Airport,730
heliport,NA,US,US-IN,Evansville,1II6,1II6,"37.96500015258789, -87.50420379638672",1II6,St Mary's Medical Center Heliport,386
heliport,NA,US,US-IN,Fort Wayne,1II7,1II7,"41.09640121459961, -85.11019897460938",1II7,Parkview Memorial Hospital Heliport,817
small_airport,NA,US,US-IN,Greenfield,1II8,1II8,"39.81420135498047, -85.81890106201172",1II8,Morris Airport,870
small_airport,NA,US,US-IL,El Paso,1IL0,1IL0,"40.775001525878906, -89.0010986328125",1IL0,Barnstorm Field,731
small_airport,NA,US,US-IL,Irving,1IL1,1IL1,"39.24449920654297, -89.4259033203125",1IL1,Horsefeathers Ranch Airport,653
heliport,NA,US,US-IL,Alton,1IL3,1IL3,"38.902198791503906, -90.1613998413086",1IL3,Alton Memorial Hospital Heliport,525
small_airport,NA,US,US-IL,Millstadt,1IL4,1IL4,"38.418701, -90.131203",1IL4,Flight Park Inc Airport,631
small_airport,NA,US,US-IL,Dixon,1IL6,1IL6,"41.86669921875, -89.44180297851562",1IL6,Bally's Strip,786
heliport,NA,US,US-IL,Dixon,1IL7,1IL7,"41.86479949951172, -89.50289916992188",1IL7,Gearhart-Hollow Heliport,800
small_airport,NA,US,US-IL,Donovan,1IL8,1IL8,"40.93199920654297, -87.59590148925781",1IL8,Loy Airport,665
small_airport,NA,US,US-IL,Mc Lean,1IL9,1IL9,"40.30059814453125, -89.12439727783203",1IL9,Holland Field,715
small_airport,NA,US,US-IN,Parker City,1IN0,1IN0,"40.133399963378906, -85.23049926757812",1IN0,Belknap-Icarus Acres Airport,1040
small_airport,NA,US,US-IN,Lewisville,1IN1,1IN1,"39.488399505615234, -86.6530990600586",1IN1,Shearer STOLport,750
heliport,NA,US,US-IN,Wingate,1IN2,1IN2,"40.203899383499994, -87.0558013916",1IN2,Meharry Ag Service Heliport,760
small_airport,NA,US,US-IN,Arcola,1IN3,1IN3,"41.097801208496094, -85.24250030517578",1IN3,Confer's Place Airport,865
small_airport,NA,US,US-IN,Elizabeth,1IN4,1IN4,"38.14310073852539, -85.98780059814453",1IN4,Robinson Airpark,775
small_airport,NA,US,US-IN,Somerville,1IN5,1IN5,"38.2848014831543, -87.38200378417969",1IN5,Bottoms Brothers Airport,545
small_airport,NA,US,US-IN,Pine Village,1IN6,1IN6,"40.40169906616211, -87.22029876708984",1IN6,Cottingham Airport,685
seaplane_base,NA,US,US-IN,Syracuse,01D,01D,"41.4035987854, -85.706100463867",1IN7,Lake Wawasee Seaplane Base,859
small_airport,NA,US,US-IL,Belleville,1IS0,1IS0,"38.524200439453125, -89.93229675292969",1IS0,Harold Emmerich Airport,515
small_airport,NA,US,US-IL,Bement,1IS2,1IS2,"39.896400451660156, -88.52230072021484",1IS2,Triple Creek Airport,666
small_airport,NA,US,US-IL,Blue Mound,1IS3,1IS3,"39.72779846191406, -89.05950164794922",1IS3,Cribbet Airport,620
small_airport,NA,US,US-IL,Lanark,1IS4,1IS4,"42.134498596191406, -89.82460021972656",1IS4,Swan Valley Farm Airport,916
small_airport,NA,US,US-IL,Paw Paw,1IS5,1IS5,"41.653099060058594, -89.00150299072266",1IS5,Walder's Farm Airport,900
heliport,NA,US,US-IL,Rockford,1IS7,1IS7,"42.29949951171875, -89.06929779052734",1IS7,Ingersoll Heliport,745
heliport,NA,US,US-IL,Ashton,1IS8,1IS8,"41.86249923706055, -89.22119903564453",1IS8,Sword's Heliport,799
small_airport,NA,US,US-FL,Navarre,1J9,1J9,"30.406299591064453, -86.8291015625",1J9,Fort Walton Beach Airport,22
heliport,NA,US,US-NJ,Newark,1JY1,1JY1,"40.7332000732, -74.1577987671",1JY1,Newark/Jersey Street Heliport,1041
small_airport,NA,US,US-OR,Silver Lake,1JY2,1JY2,"43.067100524902344, -121.0530014038086",1JY2,Mahogany Mtn. Airport,4620
heliport,NA,US,US-NJ,Newark,1JY3,1JY3,"40.73640060424805, -74.17720031738281",1JY3,Mbna Heliport,97
heliport,NA,US,US-NJ,Trenton,1JY4,1JY4,"40.20220184326172, -74.64830017089844",1JY4,Hamilton Headquarter Troop C Heliport,81
heliport,NA,US,US-NJ,Wildwood,1JY5,1JY5,"38.985801696777344, -74.80999755859375",1JY5,Morey's Heliport,12
small_airport,NA,US,US-KS,Benton,1K1,1K1,"37.77790069580078, -97.1135025024414",1K1,Lloyd Stearman Field,1364
small_airport,NA,US,US-KS,Derby,1K3,1K3,"37.56060028076172, -97.23370361328125",1K3,Hamilton Field,1320
small_airport,NA,US,US-OK,Waynoka,1K5,1K5,"36.56669998168945, -98.85230255126953",1K5,Waynoka Municipal Airport,1543
small_airport,NA,US,US-KS,Ellinwood,1K6,1K6,"38.37329864501953, -98.59510040283203",1K6,Ellinwood Municipal Airport,1797
small_airport,NA,US,US-OK,Ketchum,1K8,1K8,"36.541698455799995, -95.02110290530001",1K8,South Grand Lake Regional Airport,775
small_airport,NA,US,US-AK,Kalakaket Creek,1KC,1KC,"64.4166256967, -156.820392609",1KC,Kalakaket Creek AS Airport,1598
small_airport,NA,US,US-KS,Hutchinson,1KS0,1KS0,"38.169498443603516, -97.97119903564453",1KS0,Huey Airport,1700
small_airport,NA,US,US-KS,Richmond,1KS1,1KS1,"38.458900451660156, -95.2260971069336",1KS1,Cochran Airport,1005
small_airport,NA,US,US-KS,Easton,1KS2,1KS2,"39.31399917602539, -95.07160186767578",1KS2,Risky Airport,1133
small_airport,NA,US,US-KS,Riley,1KS3,1KS3,"39.30419921875, -96.75859832763672",1KS3,Leo's Place STOLport,1350
small_airport,NA,US,US-KS,Enterprise,1KS4,1KS4,"38.900001525878906, -97.11699676513672",1KS4,Prichard Airstrip,1164
small_airport,NA,US,US-KS,St Marys,1KS5,1KS5,"39.162498474121094, -96.09639739990234",1KS5,Keyser Airport,950
small_airport,NA,US,US-KS,Salina,1KS6,1KS6,"38.86669921875, -97.5363998413086",1KS6,Silers Plane Valley Airport,1204
small_airport,NA,US,US-KS,Satanta,1KS7,1KS7,"37.67359924316406, -101.01699829101562",1KS7,Hitch Feeders Ii Inc. Airport,3028
small_airport,NA,US,US-KS,Scott City,1KS8,1KS8,"38.51530075073242, -100.99500274658203",1KS8,Buehler Airport,3038
small_airport,NA,US,US-KS,Bonner Springs,1KS9,1KS9,"39.045601, -94.948996",1KS9,Belleair Airport,935
small_airport,NA,US,US-KY,Annville,1KT9,1KT9,"37.311833, -83.942633",1KT9,Holcomb Field,1260
heliport,NA,US,US-KY,Richmond,1KY0,1KY0,"37.676700592041016, -84.23300170898438",1KY0,Sof Maintenance Site Heliport,1000
heliport,NA,US,US-KY,Elizabethtown,1KY1,1KY1,"37.710601806640625, -85.87689971923828",1KY1,Hardin Memorial Hospital Heliport,838
heliport,NA,US,US-KY,Henderson,1KY2,1KY2,"37.855899810791016, -87.58390045166016",1KY2,Community Methodist Hospital Heliport,460
heliport,NA,US,US-KY,Tompkinsville,1KY3,1KY3,"36.69810104370117, -85.67639923095703",1KY3,Monroe County Medical Center Heliport,970
heliport,NA,US,US-KY,Lexington,1KY4,1KY4,"38.01810073852539, -84.51190185546875",1KY4,Central Baptist Hospital Heliport,1076
heliport,NA,US,US-KY,Louisville,1KY5,1KY5,"38.16669845581055, -85.70130157470703",1KY5,Switch Pad Heliport,496
heliport,NA,US,US-KY,Harrodsburg,1KY6,1KY6,"37.75590133666992, -84.84970092773438",1KY6,Haggin Heliport,920
small_airport,NA,US,US-KY,Richmond,1KY7,1KY7,"37.83250045776367, -84.18080139160156",1KY7,Jordan Hill Farm Airport,910
heliport,NA,US,US-KY,Louisville,1KY8,1KY8,"38.214444, -85.7225",1KY8,Norton Audubon Hospital Heliport,517
small_airport,NA,US,US-NV,Cal Nev Ari,1L4,1L4,"35.30550003051758, -114.88300323486328",1L4,Kidwell Airport,2605
small_airport,NA,US,US-LA,Gueydan,1LA0,1LA0,"30.0168991089, -92.5279006958",1LA0,Ken Guidry Nr 2 Airport,6
small_airport,NA,US,US-LA,Hahnville,1LA1,1LA1,"29.98349952697754, -90.43479919433594",1LA1,Triche Field,10
small_airport,NA,US,US-LA,Hayes,1LA3,1LA3,"30.030799865722656, -92.83350372314453",1LA3,Goose Island Airport,4
small_airport,NA,US,US-LA,Morrow,1LA5,1LA5,"30.7992000579834, -92.05970001220703",1LA5,Morrow Strip,40
heliport,NA,US,US-LA,Shreveport,LA85,LA85,"32.423673, -93.715941",1LA6,Christus Highland Heliport,160
heliport,NA,US,US-LA,Mamou,1LA7,1LA7,"30.642499923706055, -92.41780090332031",1LA7,Savoy Medical Center Heliport,100
heliport,NA,US,US-LA,Intracoastal City,1LA8,1LA8,"29.60110092163086, -92.26010131835938",1LA8,S.Fresh Water Bayou Heliport,4
small_airport,NA,US,US-IL,Seneca,1LL0,1LL0,"41.329200744628906, -88.60009765625",1LL0,Boondox Field,625
heliport,NA,US,US-IL,Lawrenceville,1LL1,1LL1,"38.728099823, -87.69470214840001",1LL1,Lawrence Co Memorial Hospital Heliport,470
small_airport,NA,US,US-IL,Seneca,1LL2,1LL2,"41.30059814453125, -88.6355972290039",1LL2,Spring Brook Airport,500
small_airport,NA,US,US-IL,Litchfield,1LL4,1LL4,"39.18339920043945, -89.70010375976562",1LL4,Sies Landing Area Airport,690
small_airport,NA,US,US-IL,Shannon,1LL6,1LL6,"42.22809982299805, -89.73819732666016",1LL6,Janssen Airport,877
small_airport,NA,US,US-IL,Sheffield,1LL7,1LL7,"41.34980010986328, -89.77320098876953",1LL7,Edwin G. Bennett Airport,690
small_airport,NA,US,US-IL,Sheldon,1LL8,1LL8,"40.78889846801758, -87.55840301513672",1LL8,Zoomer Field,680
heliport,NA,US,US-IL,Loami,1LL9,1LL9,"39.6776008605957, -89.80509948730469",1LL9,Reyhan Heliport,600
small_airport,NA,US,US-LA,Gonzales,1LS0,1LS0,"30.22410011291504, -90.88200378417969",1LS0,Cal Mire Field,14
heliport,NA,US,US-LA,Baton Rouge,1LS1,1LS1,"30.22249984741211, -91.07279968261719",1LS1,Cosmar Styrene Plant Heliport,18
heliport,NA,US,US-LA,Innis,1LS2,1LS2,"30.87779998779297, -91.67919921875",1LS2,Innis Community Health Center Heliport,45
small_airport,NA,US,US-LA,Cameron,1LS5,1LS5,"29.803300857543945, -93.33460235595703",1LS5,Cameron Airstrip,5
small_airport,NA,US,US-LA,Ferriday,1LS8,1LS8,"31.682100296020508, -91.49870300292969",1LS8,Summerell Airport,64
small_airport,NA,US,US-AL,Ardmore,1M3,1M3,"34.977901458740234, -86.88469696044922",1M3,Ardmore Airport,920
small_airport,NA,US,US-KY,Fulton,1M7,1M7,"36.525901794433594, -88.91560363769531",1M7,Fulton Airport,400
small_airport,NA,US,US-MA,Berkley,1M8,1M8,"41.8390998840332, -71.02649688720703",1M8,Myricks Airport,71
heliport,NA,US,US-MA,Plymouth,1MA0,1MA0,"41.941001892089844, -70.64689636230469",1MA0,Jordan Hospital Heliport,122
heliport,NA,US,US-MA,Ayer,1MA1,1MA1,"42.576499938964844, -71.5739974975586",1MA1,Deaconess Nashoba Hospital Heliport,308
heliport,NA,US,US-MA,Worcester,1MA2,1MA2,"42.2750015259, -71.7600021362",1MA2,UMASS Memorial Medical Center-Univ Campus Heliport,417
heliport,NA,US,US-MA,Lowell,1MA4,1MA4,"42.60929870605469, -71.32170104980469",1MA4,Wang Heliport,104
small_airport,NA,US,US-MA,Southborough,1MA5,1MA5,"42.27899932861328, -71.54779815673828",1MA5,Unknown Field,432
heliport,NA,US,US-MA,Southwick,1MA6,1MA6,"42.067901611328125, -72.74449920654297",1MA6,Micron Heliport,245
heliport,NA,US,US-MA,West Newbury,1MA7,1MA7,"42.4734001159668, -70.97889709472656",1MA7,Long Hill Orchard Heliport,120
heliport,NA,US,US-MA,Lincoln,1MA8,1MA8,"42.41999816894531, -71.30940246582031",1MA8,Horizon Hill Heliport,336
heliport,NA,US,US-MA,Taunton,1MA9,1MA9,"41.90589904785156, -71.09420013427734",1MA9,Morton Hospital Heliport,50
heliport,NA,US,US-MD,Lusby,1MD0,1MD0,"38.39179992675781, -76.40799713134766",1MD0,Clng Cove Point Heliport,133
small_airport,NA,US,US-MD,Cambridge,1MD1,1MD1,"38.569000244140625, -76.28630065917969",1MD1,Big Oak Farm Airport,4
heliport,NA,US,US-MD,Cheverly,1MD4,1MD4,"38.930301666259766, -76.9207992553711",1MD4,Prince George's Hospital Center Heliport,297
heliport,NA,US,US-MD,Laytonsville,1MD5,1MD5,"39.192100524902344, -77.10659790039062",1MD5,Federal Support Center Heliport,510
heliport,NA,US,US-MD,New Carrollton,1MD6,1MD6,"38.94620132446289, -76.86830139160156",1MD6,Metroplex Heliport,99
heliport,NA,US,US-MD,Rockville,1MD7,1MD7,"39.098201751708984, -77.1968994140625",1MD7,Shady Grove Adventist Hospital Heliport,475
small_airport,NA,US,US-MD,Westminster/Silver Run,1MD8,1MD8,"39.682899475097656, -77.09719848632812",1MD8,Mayberry Run Airport,580
heliport,NA,US,US-MD,Hagerstown,1MD9,1MD9,"39.637298583984375, -77.7146987915039",1MD9,Washington County Hospital Heliport,589
seaplane_base,NA,US,US-ME,Chesuncook,1ME,1ME,"46.0609016418457, -69.4094009399414",1ME,Chesuncook Lake House Seaplane Base,942
heliport,NA,US,US-ME,Belfast,1ME1,1ME1,"44.41059875488281, -69.00920104980469",1ME1,Victor Heliport,180
heliport,NA,US,US-ME,Waterville,1ME2,1ME2,"44.566216, -69.64785",1ME2,Maine General Medical Center-Waterville Heliport,112
seaplane_base,NA,US,US-MI,Drummond Island,1MI0,1MI0,"46.068599700927734, -83.72419738769531",1MI0,Ashman Island Seaplane Base,580
small_airport,NA,US,US-MI,Mass,1MI1,1MI1,"46.702701568603516, -88.99739837646484",1MI1,Nikkila Farms Airport,1100
heliport,NA,US,US-MI,Auburn Hills,1MI2,1MI2,"42.699798583984375, -83.24739837646484",1MI2,Guardian Industries Heliport,1021
small_airport,NA,US,US-MI,Onaway,1MI3,1MI3,"45.19580078125, -84.32170104980469",1MI3,Black River Ranch Airport,880
small_airport,NA,US,US-MI,Perronville,1MI4,1MI4,"45.83890151977539, -87.32240295410156",1MI4,Ramsy Farm Airport,880
small_airport,NA,US,US-MI,Howell,1MI5,1MI5,"42.60309982299805, -83.85970306396484",1MI5,Mckenzie's Landing Airport,955
small_airport,NA,US,US-MI,Sault Ste Marie,1MI6,1MI6,"46.377799987799996, -84.3110961914",1MI6,Rosedale Airport,675
small_airport,NA,US,US-MI,Hubbard,1MI8,1MI8,"44.84669876098633, -83.63690185546875",1MI8,Vlachos Acres Airport,785
small_airport,NA,US,US-MI,Marquette,1MI9,1MI9,"46.472198486328125, -87.35009765625",1MI9,Southfork Airport,660
small_airport,NA,US,US-MN,Tenney,1MN0,1MN0,"46.04359817504883, -96.54620361328125",1MN0,Wetherbee Farm Airport,980
small_airport,NA,US,US-MN,Akiey,1MN2,1MN2,"45.938201904296875, -94.76069641113281",1MN2,Hay Acres Airport,1430
heliport,NA,US,US-MN,Bigfork,1MN3,1MN3,"47.74720001220703, -93.64630126953125",1MN3,Northern Itasca Health Care Center Heliport,1320
small_airport,NA,US,US-MN,Waconia,1MN5,1MN5,"44.84360122680664, -93.73999786376953",1MN5,Molnau Airpark,1000
heliport,NA,US,US-MN,Cook,1MN6,1MN6,"47.85300064086914, -92.6791000366211",1MN6,Cook Hospital Heliport,1315
heliport,NA,US,US-MN,Crosby,1MN7,1MN7,"46.482200622558594, -93.943603515625",1MN7,Cuyuna Regional Medical Center Heliport,1255
small_airport,NA,US,US-MN,Webster,1MN8,1MN8,"44.52579879760742, -93.32689666748047",1MN8,Sky Harbor Residential Airpark,1111
heliport,NA,US,US-MN,Jackson,1MN9,1MN9,"43.624831, -95.003987",1MN9,Sanford Jackson Medical Center Heliport,1450
heliport,NA,US,US-MO,Kirkwood,1MO1,1MO1,"38.56809997558594, -90.43399810791016",1MO1,St Joseph Hospital Heliport,530
small_airport,NA,US,US-MO,Freeman,1MO2,1MO2,"38.54949951171875, -94.47660064697266",1MO2,Hart Airport,825
small_airport,NA,US,US-MO,Gallatin,1MO3,1MO3,"39.93339920043945, -94.07379913330078",1MO3,Lake Viking Airport,940
small_airport,NA,US,US-MO,Gallatin,1MO4,1MO4,"39.891700744628906, -93.86409759521484",1MO4,Longwood Mfg Corp Airport,800
small_airport,NA,US,US-MO,Grandin,1MO6,1MO6,"36.83620071411133, -90.72229766845703",1MO6,Double S Ranch Airport,737
small_airport,NA,US,US-MO,Gorin,1MO7,1MO7,"40.36389923095703, -91.9751968383789",1MO7,Hines Airport,750
small_airport,NA,US,US-MO,Gravois Mills,1MO8,1MO8,"38.25279998779297, -92.8030014038086",1MO8,Sherlock Field,800
small_airport,NA,US,US-MO,Greenfield,1MO9,1MO9,"37.47919845581055, -93.85160064697266",1MO9,Eagle's Point & Red Barn Village Airpark,1040
small_airport,NA,US,US-MS,Shaw,1MS0,1MS0,"33.59980010986328, -90.78119659423828",1MS0,Tapley Airport,129
heliport,NA,US,US-MS,Philadelphia,1MS1,1MS1,"32.757279, -89.105745",1MS1,Neshoba General Hospital Heliport,388
small_airport,NA,US,US-MS,Goodman,1MS2,1MS2,"32.94179916381836, -89.93060302734375",1MS2,Peterson Airport,240
heliport,NA,US,US-MS,Kosciusko,1MS3,1MS3,"33.066799, -89.598501",1MS3,Baptist Medical Center Attala Heliport,455
heliport,NA,US,US-MS,Jackson,1MS4,1MS4,"32.287899017333984, -90.2562026977539",1MS4,Methodist Medical Center Heliport,366
heliport,NA,US,US-MS,Byhalia,1MS5,1MS5,"34.888999938964844, -89.7029037475586",1MS5,General Dan C Mills Emergency Heliport,44
heliport,NA,US,US-MS,Raleigh,1MS7,1MS7,"31.99959945678711, -89.51950073242188",1MS7,Smith County General Hospital Heliport,535
small_airport,NA,US,US-MS,Shuqualak,1MS8,1MS8,"32.9401016235, -88.5792007446",1MS8,Columbus Air Force Base Aux Field Airfield,260
small_airport,NA,US,US-MT,Gallatin Gateway,1MT0,1MT0,"45.06740188598633, -111.2969970703125",1MT0,Nine Quarter Circle Ranch Airport,6974
heliport,NA,US,US-MT,Belgrade,1MT1,1MT1,"45.774200439453125, -111.2030029296875",1MT1,Krinitt Helicopters Heliport,4474
small_airport,NA,US,US-MT,Billings,1MT2,1MT2,"45.94309997558594, -108.54900360107422",1MT2,Skyrider Ultralightport,3540
small_airport,NA,US,US-MT,Elliston,1MT3,1MT3,"46.558101654052734, -112.41200256347656",1MT3,Wood Strip,5100
small_airport,NA,US,US-MT,Helena,1MT4,1MT4,"46.688499450683594, -111.87100219726562",1MT4,Davis Airport,3780
heliport,NA,US,US-MT,Miles City,1MT5,1MT5,"46.39459991455078, -105.8290023803711",1MT5,Holy Rosary Heliport,2372
small_airport,NA,US,US-MT,Philipsburg,1MT6,1MT6,"46.35689926147461, -113.51000213623047",1MT6,Bobcat Field,4824
small_airport,NA,US,US-MT,Sand Coulee,1MT7,1MT7,"47.42110061645508, -111.15899658203125",1MT7,Prill Field,3420
heliport,NA,US,US-MT,Butte,1MT8,1MT8,"46.0093994140625, -112.54499816894531",1MT8,St. James Heliport,5733
small_airport,NA,US,US-MT,Billings,1MT9,1MT9,"45.78919982910156, -108.68399810791016",1MT9,Wilcox Airport,3390
small_airport,NA,US,US-MO,Republic,1MU0,1MU0,"37.16669845581055, -93.56269836425781",1MU0,Medcalf Field,1260
seaplane_base,NA,US,US-MO,Rockaway Beach,1MU1,1MU1,"36.66669845581055, -93.154296875",1MU1,Lake Taney Como Seaplane Base,716
small_airport,NA,US,US-MO,Ridgely,1MU2,1MU2,"39.4473991394043, -94.66719818115234",1MU2,Smitty's Landing Airport,800
heliport,NA,US,US-MO,Unionville,1MU3,1MU3,"40.48270034790039, -93.00589752197266",1MU3,Putnam County Memorial Hospital Heliport,1060
small_airport,NA,US,US-MO,Warrensburg,1MU4,1MU4,"38.65169906616211, -93.77880096435547",1MU4,Short Air Airport,840
heliport,NA,US,US-MO,Buffalo,1MU5,1MU5,"37.524200439453125, -93.14320373535156",1MU5,Grace G Shepard Memorial Heliport,1152
small_airport,NA,US,US-MO,Jackson,1MU7,1MU7,"37.465301513671875, -89.61199951171875",1MU7,Mooseberry Airport,480
small_airport,NA,US,US-MO,Rushville,1MU8,1MU8,"39.55419921875, -94.99859619140625",1MU8,Church's Landing Airport,826
heliport,NA,US,US-MO,Saint Charles,1MU9,1MU9,"38.935298919677734, -90.47650146484375",1MU9,Nielsens Medical Evac Heliport,425
small_airport,NA,US,US-MN,Wendell,1MY1,1MY1,"45.98529815673828, -96.19439697265625",1MY1,Carlson Agricultural Airport,1033
small_airport,NA,US,US-NY,East Moriches,1N2,1N2,"40.82789993286133, -72.74870300292969",1N2,Spadaro Airport,50
small_airport,NA,US,US-PA,Philipsburg,1N3,1N3,"40.971500396728516, -78.2428970336914",1N3,Albert Airport,1784
small_airport,NA,US,US-MD,Salisbury,1N5,1N5,"38.41270065307617, -75.61689758300781",1N5,Bennett Airport,42
small_airport,NA,US,US-ND,Mountain,1NA0,1NA0,"48.732200622558594, -97.8895034790039",1NA0,Bohn Airstrip,1142
small_airport,NA,US,US-ND,Streeter,1NA5,1NA5,"46.625, -99.45040130615234",1NA5,Gienger/Box Bar Ranch Airport,1950
small_airport,NA,US,US-ND,Braddock,1NA8,1NA8,"46.69049835205078, -100.09500122070312",1NA8,Preszler Airstrip,1795
small_airport,NA,US,US-ND,Taylor,1NA9,1NA9,"47.03329849243164, -102.49600219726562",1NA9,Myran Airstrip,2120
small_airport,NA,US,US-NC,Asheboro,1NC0,1NC0,"35.72209930419922, -79.94139862060547",1NC0,Delk's Airport,460
small_airport,NA,US,US-NC,Pittsboro,1NC1,1NC1,"35.8119010925293, -79.23860168457031",1NC1,Ron's Ultralight Field,525
small_airport,NA,US,US-NC,Mooresville,1NC2,1NC2,"35.654701232910156, -80.78939819335938",1NC2,Atwell Airport,830
small_airport,NA,US,US-NC,Elizabeth City,1NC3,1NC3,"36.18069839477539, -76.14910125732422",1NC3,Fletcher's Airport,7
small_airport,NA,US,US-NC,Pollocksville,1NC4,1NC4,"34.995399475097656, -77.25769805908203",1NC4,Bell Strip,35
small_airport,NA,US,US-NC,Bunn,1NC5,1NC5,"35.93320083618164, -78.34860229492188",1NC5,Riley Field,360
small_airport,NA,US,US-NC,Wingate,1NC6,1NC6,"35.055999755859375, -80.45010375976562",1NC6,Arant Airport,535
small_airport,NA,US,US-NC,Gold Hill,1NC8,1NC8,"35.5158, -80.258102",1NC8,Lonesome Field,665
small_airport,NA,US,US-NC,Cherryville,1NC9,1NC9,"35.44969940185547, -81.42639923095703",1NC9,Northbrook International Ultraport Ultralightport,1030
small_airport,NA,US,US-ND,Kindred,1ND3,1ND3,"46.647701263427734, -97.13059997558594",1ND3,Andvik Airport,980
small_airport,NA,US,US-ND,Argusville,1ND4,1ND4,"47.05830001831055, -97.01699829101562",1ND4,Walkinshaw Airport,900
small_airport,NA,US,US-ND,Lynchburg,1ND7,1ND7,"46.8291015625, -97.26699829101562",1ND7,Dittmer Airport,943
small_airport,NA,US,US-NE,Brownlee,1NE0,1NE0,"42.31669998168945, -100.41699981689453",1NE0,Higgins Bros Airport,2860
small_airport,NA,US,US-NE,Callaway,1NE1,1NE1,"41.28329849, -100.0500031",1NE1,Paul Ridder Ranch Airport,2780
small_airport,NA,US,US-NE,Callaway,1NE2,1NE2,"41.32500076293945, -99.91709899902344",1NE2,Witthuhn Airport,2700
small_airport,NA,US,US-NE,Washington,1NE5,1NE5,"41.40610122680664, -96.28559875488281",1NE5,Sibbernsen Airport,1280
small_airport,NA,US,US-NE,Dalton,1NE6,1NE6,"41.34080123901367, -102.77799987792969",1NE6,Miller Airstrip,4100
heliport,NA,US,US-NJ,New Brunswick,1NJ0,1NJ0,"40.47679901123047, -74.40879821777344",1NJ0,Jersey Turnpike Heliport,102
heliport,NA,US,US-NJ,New Brunswick,1NJ1,1NJ1,"40.47930145263672, -74.43460083007812",1NJ1,Rutger's Helistop Sec. A & B Heliport,116
heliport,NA,US,US-NJ,New Brunswick,1NJ2,1NJ2,"40.4739990234375, -74.48400115966797",1NJ2,New Brunswick Gas Distn Heliport,114
heliport,NA,US,US-NJ,New Brunswick,1NJ4,1NJ4,"40.51679992675781, -74.46630096435547",1NJ4,Rutgers Helistop Nr 1 Heliport,85
heliport,NA,US,US-NJ,Blairstown,1NJ5,1NJ5,"40.95199966430664, -75.91850280761719",1NJ5,Milana Heliport,700
heliport,NA,US,US-NJ,Newfoundland,1NJ6,1NJ6,"41.054298400878906, -74.4301986694336",1NJ6,Idylease Helistop,525
heliport,NA,US,US-NJ,Towaco,1NJ7,1NJ7,"40.94729995727539, -74.35430145263672",1NJ7,Skytop Farms Heliport,850
heliport,NA,US,US-NJ,Oakland,1NJ8,1NJ8,"41.03340148925781, -74.23290252685547",1NJ8,Scardo's Heliport,344
heliport,NA,US,US-NJ,Sussex,1NJ9,1NJ9,"41.29119873046875, -74.5510025024414",1NJ9,Air Tractor Heliport,540
small_airport,NA,US,US-NY,Roxbury,1NK0,1NK0,"42.297298431396484, -74.54820251464844",1NK0,Roxbury Runway Airport,1600
heliport,NA,US,US-NY,Stone Ridge,1NK1,1NK1,"41.89059829711914, -74.152099609375",1NK1,Stone Ridge Heliport,285
heliport,NA,US,US-NY,Oneida,1NK2,1NK2,"43.07419967651367, -75.652099609375",1NK2,Oneida City Hospital Heliport,523
heliport,NA,US,US-NY,Troy,1NK3,1NK3,"42.69060134887695, -73.70369720458984",1NK3,Troy Armory Heliport,188
heliport,NA,US,US-NY,West Islip,1NK4,1NK4,"40.686798095703125, -73.3042984008789",1NK4,Wagstaff Heliport,11
