"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","?","?","proceedings of the third international conference on genetic algorithms","1989","in j schaffer ed","?","?","?","?","pp 42 50","morgan kaufmann","?","an investigation of niche and species formation in genetic function optimization","?","?","?"
"?","dempster a laird n and rubin d","dempster a laird n and rubin d","?","1977","?","?","journal of the royal statistical society b","?","?","1 38","?","?","maximum likelihood from incomplete data via the em algorithm","?","39","?"
"?","dempster a laird n and rubin d","dempster a laird n and rubin d","?","1977","?","?","journal of the royal statistical society b","?","?","1 38","?","?","maximum likelihood from incomplete data via the em algorithm","?","39","?"
"?","m dill and m","m dill and m","?","?","?","?","perception psychophysics in press","?","?","?","?","?","fahle","?","?","?"
"?","m dill and m","m dill and m","?","?","?","?","perception psychophysics in press","?","?","?","?","?","fahle","?","?","?"
"?","m dill and m","m dill and m","proceedings of the royal society london b in press","?","?","?","?","?","?","?","?","?","fahle","?","?","?"
"?","m dill and m","m dill and m","proceedings of the royal society london b in press","?","?","?","?","?","?","?","?","?","fahle","?","?","?"
"?","dutta s and shekhar s","dutta s and shekhar s","in international joint conference on neural networks","1988","?","computer and information sciences university of florida","?","?","?","pages 443 450","?","tr91 008","bond rating a non conservative application of neural networks","?","volume 2","?"
"?","m fahle and t poggio","m fahle and t poggio","proceedings of the royal society of london b","1981","?","?","?","?","?","451 477","?","?","visual hyperacuity spatiotemporal interpolation in human vision","?","213","?"
"?","fahle m","fahle m","?","?","?","?","vis res","?","?","2149 2184","?","?","1991 parallel perception of vernier offsets curvature and chevrons in humans","?","31","?"
"?","fahle m w and edelman s","fahle m w and edelman s","?","1992","?","?","vision research","?","?","?","in press","?","learning in hyperacuity influence of stimulus range and of feedback","?","?","?"
"?","m fahle and s edelman","m fahle and s edelman","?","1993","?","?","vision research","?","?","397 412","?","?","long term learning in vernier acuity effects of stimulus orientation range and of feedback","?","33 3","?"
"?","fahle m edelman s","fahle m edelman s","?","1993","?","?","vision research","?","?","397 412","?","?","long term learning in vernier acuity effects of stimulus orientation range and of feedback","?","33","?"
"?","fahle m edelman s","fahle m edelman s","?","?","?","?","vision research","?","?","397 412","?","?","?","?","33","?"
"?","fahle m edelman s and poggio t","fahle m edelman s and poggio t","?","1995","?","?","vision research","?","?","3003 3013","?","?","fast perceptual learning in hyperacuity","?","35","?"
"?","fahle m edelman s and poggio t","fahle m edelman s and poggio t","?","1995","?","?","vision research","?","?","3003 3013","?","?","fast perceptual learning in hyperacuity","?","35","?"
"?","fahle m edelman s and poggio t","fahle m edelman s and poggio t","?","1995","?","?","vision research","?","?","3003 3013","?","?","fast perceptual learning in hyperacuity","?","35","?"
"?","fahle m edelman s poggio t","fahle m edelman s poggio t","?","?","?","?","vision research","?","?","3003 3013","?","?","?","?","35","?"
"?","fahle m","fahle m","?","1997","?","?","vision research","?","?","1885 1895 66","?","?","specificity of learning curvature orientation and vernier discriminations","?","37 14","?"
"?","fahle m","fahle m","?","?","?","?","vision research","?","?","1885 1895","?","?","?","?","37 14","?"
"?","lennart e fahlen charles grant brown olov stahl and christer carlsson","lennart e fahlen charles grant brown olov stahl and christer carlsson","in proceedings of interchi 93","1993","?","?","?","?","?","pages 4348","?","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","lennart e fahlen charles grant brown olov stahl and christer carlsson","lennart e fahlen charles grant brown olov stahl and christer carlsson","in proceedings of interchi 93","1993","?","?","?","?","?","pages 43 48","?","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","lennart e fahlen charles grant brown olov stahl and christer carlsson","lennart e fahlen charles grant brown olov stahl and christer carlsson","in proceedings of interchi 93","1993","?","?","?","?","?","pages 43 48","?","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","lennart e fahlen charles grant brown olov stahl and christer carlsson","lennart e fahlen charles grant brown olov stahl and christer carlsson","in proceedings of interchi 93","1993","?","?","?","?","?","pages 43 48","?","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","lennart e fahlen charles grant brown olov stahl and christer carlsson","lennart e fahlen charles grant brown olov stahl and christer carlsson","in proceedings of interchi 93","1993","?","?","?","?","?","pages 43 48","?","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","s fahlman","s fahlman","?","1974","?","?","artificial intelligence","?","?","pp 1 49","?","?","a planning system for robot construction tasks","?","vol 5","?"
"?","s fahlman","s fahlman","?","1974","?","?","artificial intelligence","?","?","pp 1 49","?","?","a planning system for robot construction tasks","?","vol 5","?"
"?","scott elliott fahlman","scott elliott fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5 1","?"
"?","scott elliott fahlman","scott elliott fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5 1","?"
"?","fahlman s e","fahlman s e","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5 1","?"
"?","fahlman s e","fahlman s e","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5 1","?"
"?","s e fahlman","s e fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5","?"
"?","s e fahlman","s e fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5","?"
"?","s e fahlman","s e fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5","?"
"?","s fahlman","s fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5","?"
"?","s f fahlman","s f fahlman","artifical intel lignece 5 pp","1974","?","?","?","?","?","1 49","?","?","a planning system for robot construction tasks","?","?","?"
"?","s e fahlman","s e fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5","?"
"?","scott elliott fahlman","scott elliott fahlman","?","1974","?","?","artificial intelligence","?","?","1 49","?","?","a planning system for robot construction tasks","?","5 1","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","cambridge mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","s e fahlman","s e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","fahlman s","fahlman s","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","the mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","the mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","cambridge mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","cambridge mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","cambridge mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge cam bridge","?","?","?"
"?","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","cambridge mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge mass","s e fahlman","s e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","s e fahlman","s e fahlman","?","?","?","?","?","?","?","?","mit press","?","netl a system for representing real world knowledge","?","?","?"
"cambridge ma","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","a system for representing and using real world knowledge","?","?","?"
"cambridge ma","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","a system for representing and using real world knowledge","?","?","?"
"cambridge ma","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge massachusetts","s fahlman","s fahlman","?","1979","?","?","?","?","?","?","the mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing real world knowledge","?","?","?"
"cambridge ma","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge mas sachusetts","s fahlman","s fahlman","?","1979","?","?","?","?","?","?","the mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","the mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","fahlman s e","fahlman s e","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"massachusetts","s fahlman","s fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","s e fahlman","s e fahlman","?","1977","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","s e fahlman","s e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma u s a","s e fahlman","s e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge ma","s fahlman","s fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"cambridge massachusetts","s fahlman","s fahlman","?","1979","?","?","?","?","?","?","the mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1979","?","?","?","?","?","?","mit press","?","netl a system for representing and using real world knowledge","?","?","?"
"?","scott e fahlman","scott e fahlman","in the first annual conference on artificial intelligence aaai","1980","?","?","?","?","?","?","?","?","design sketch for a million element netl machine","?","?","?"
"hillsdale nj","fahlman s","fahlman s","parallel models of associative memory","1981","in g hinton and j anderson eds","?","?","?","?","?","lawrence erlbaum associates","?","representing implicit knowledge","?","?","?"
"menlo park","fahlman s touretzky d and van roggen w","fahlman s touretzky d and van roggen w","in proc ijcai 81","?","?","?","?","?","international joint conferences on ai","257 263","?","?","cancellation in a parallel semantic network","?","?","?"
"?","scott e fahlman","scott e fahlman","parallel processing in artificial intelligence parallel computing","1985","?","?","?","?","?","283 286","?","?","extended abstract","?","2","?"
"?","fahlman s hinton g","fahlman s hinton g","?","1987","?","?","computer","?","?","100 109","?","?","connectionist architectures for artificial intelligence","?","20","?"
"?","scott e fahlman and geoffrey e hinton","scott e fahlman and geoffrey e hinton","?","1987","?","?","computer","?","?","?","?","?","connectionist architectures for artificial intelligence","?","20 1","?"
"?","fahlman s and hinton g","fahlman s and hinton g","?","1987","?","?","computer","?","?","100 118","?","?","connectionist architectures for artificial intelligence","?","20","?"
"san mateo ca","s e fahlman","s e fahlman","proc of the 1988 connectionist models summer school","1989","d touretzky g hinton and t sejnowski eds","?","?","?","?","pp 38 51","morgan kauffman","?","faster learning variations on back propagation an empirical study","?","?","?"
"san mateo ca","fahlman s","fahlman s","proc of the connectionist model summer school","1988","in touretzky d hinton g and sejnowski t eds","?","?","?","?","?","morgan kaufmann","?","faster learning variations on backpropagation an empirical study","?","?","?"
"?","fahlman s e","fahlman s e","t","1988","in g e hinton","?","?","?","?","?","?","?","faster learning variations on back propagation","?","?","?"
"san mateo california","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1989","in touretzky d s hinton g sejnowski t eds","?","?","?","?","pp 38 51","morgan kaufmann","?","faster learning variations on back propagation an empirical study","?","?","?"
"san mateo ca","fahlman s e","fahlman s e","in proc 1988 connectionist models summer school","1988","?","?","?","?","?","?","morgan kauffman","?","faster learning variations on backpropagation an empirical study","?","?","?"
"san mateo ca","fahlman s e","fahlman s e","proc 1988 connectionist models summer school","1989","touretzky d hinton g sejnowski t eds","?","?","?","?","38 51","morgan kaufmann","?","fast learning variations on back propagation an empirical study","?","?","?"
"?","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","pp 38 51","morgan kaufmann","?","fast learning variations on backpropagation an empirical study","?","?","?"
"san mateo","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1989","in d touretzky g hinton t sejnowski eds","?","?","?","?","38 51","morgan kaufman","?","fast learning variations on back propagation an empirical study","?","?","?"
"san mateo","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1989","in d touretzky g hinton t sejnowski eds","?","?","?","?","38 51","morgan kaufman","?","fast learning variations on back propagation an empirical study","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1989","in d touretzky g hinton t sejnowski eds","?","?","?","?","38 51","morgan kaufman san mateo","?","fast learning variations on back propagation an empirical study","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1989","in d touretzky g hinton t sejnowski eds","?","?","?","?","38 1","morgan kaufman san mateo","?","fast learning variations on back propagation an empirical study","?","?","?"
"pittsburgh pa","s fahlman","s fahlman","in procs of the 1988 connectionist models summer school","1988","?","?","?","?","?","pages 38 51","?","?","faster learning variations on back propagation an empirical study","?","?","?"
"san mateo 1989","s e fahlman","s e fahlman","proceedings of the 1988 connectionist models summer school","?","in d touret zky g hinton and t sejnowski editors","?","?","?","?","pages 38 51","morgan kaufmann","?","fast learning variations on back propagation an empirical study","?","?","?"
"?","s e fahlman","s e fahlman","in proceedings of the 1988 connectionists models summer school","1988","?","?","?","?","?","?","morgan kauffman inc","?","faster learning variations on back propagation an empirical study","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1988","?","carnegie mellon university school of computer science","?","?","120 bibliography","?","?","technical report cmu cs 88 162","faster learning variations on back propagation an empirical study","?","?","?"
"san mateo ca","fahlman s","fahlman s","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g e hinton and t j sejnowski eds","?","?","?","?","38 51","morgan kaufmann","?","e faster learning variations of backpropagation an empirical study","?","?","?"
"san mateo ca","fahlman s","fahlman s","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g e hinton and t j sejnowski eds","?","?","?","?","38 51","morgan kaufmann","?","e faster learning variations of backpropagation an empirical study","?","?","?"
"san mateo ca","fahlman s","fahlman s","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g e hinton and t j sejnowski eds","?","?","?","?","38 51","morgan kaufmann","?","e faster learning variations of backpropagation an empirical study","?","?","?"
"san mateo ca","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1989","in touretzky d hinton g and sejnowski t editors","?","?","?","?","pages 38 51","mor gan kaufmann","?","fast learning variations on back propagation an empirical study","?","?","?"
"san mateo ca","fahlman s e","fahlman s e","proceedings of 1988 connectionist models summer school","?","touretzky d hinton g and sejnowski t eds","?","?","?","?","pp 38 51","morgan kaufmann","?","1988 faster learning variations on back propagation an empiri cal study","?","?","?"
"?","s e fahlman","s e fahlman","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g e hinton and t j sejnowski editors","?","?","?","?","pages 38 51","morgan kaufman","?","faster learning variations on back propagation an empirical study","?","?","?"
"?","s e fahlman","s e fahlman","in 1988 connectionist models summer school","1988","sejnowski g e hinton and d s touretzky editors","?","?","?","?","?","morgan kauf mann","?","faster learning variations on backpropagation an empirical study in t j","?","?","?"
"san mateo ca","fahlman s e","fahlman s e","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g e hinton and t j sejnowski eds","?","?","?","?","?","morgan kaufmann publishers 38 51","?","faster learning variations of backpropagation an empirical study","?","?","?"
"?","s fahlmann","s fahlmann","proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","pp 38 51","?","?","faster learning variations on backpropagation an empirical study","?","?","?"
"?","s fahlmann","s fahlmann","proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","pp 38 51","?","?","faster learning variations on backpropagation an empirical study","?","?","?"
"?","s e fahlman","s e fahlman","in 1988 connectionist models summer school","1988","t j sejnowski g e hinton and d s touretzky eds","?","?","?","?","?","mor gan kaufmann","?","faster learning variations on backpropagation an empirical study","?","?","?"
"?","fahlman s","fahlman s","proc of the 1988 connectionist models summer school","1988","?","?","?","?","?","?","morgan kaufmann","?","faster learning variations on back propagation an empirical study in","?","?","?"
"?","s e fahlman","s e fahlman","in proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","?","?","?","faster learning variations on back propagation an empirical study","?","?","?"
"?","scott e fahlman","scott e fahlman","in proceedings of the 1988 connectionist models summer school pitts burg 1988","?","?","?","?","?","?","38 51","morgan kaufmann","?","faster learning variations on back propagation an empirical study","?","?","?"
"?","s fahlman","s fahlman","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g hinton and t sejnowsky editors","?","?","?","?","pages 38 51","morgan kauffman","?","faster learning variations on backpropagation an empirical study","?","?","?"
"?","s fahlman","s fahlman","proceedings of the 1988 connectionist models summer school","1988","in d touretzky g hinton and t sejnowsky editors","?","?","?","?","pages 38 51","morgan kauffman","?","faster learning variations on backpropagation an empirical study","?","?","?"
"?","s fahlman","s fahlman","in connectionist models summer school","1988","?","carnegie mellon","?","?","?","?","?","?","faster learning variations on back propagation an empirical study","?","?","?"
"?","s e fahlman","s e fahlman","in proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","?","morgan kaufmann","?","faster learning variations on back propagation an empirical study","?","?","?"
"san mateo ca","s e fahlman","s e fahlman","in proceedings of the 1988 connectionist models summer school","1988","d s touretzky g e hinton and t j sejnowski eds","?","?","?","?","pp 38 51","morgan kaufmann","?","faster learning variations on backpropagation an empirical study","?","?","?"
"san mateo ca","s e fahlman","s e fahlman","connectionist models summer school 1988 proceedings","?","in d s touretzky g e hinton and sejnowski editors","?","?","?","?","pages 38 51","morgan kaufmann","?","fast learning variations on back propagation an empirical study","?","?","?"
"?","s e","s e","in proceedings of the 1988 connectionist summer school","?","?","?","?","?","?","?","morgan kauf mann","?","fahlman 1988 faster learning variations on back propagation an empirical study","?","?","?"
"?","s e","s e","in proceedings of the 1988 connectionist models summer school","?","?","?","?","?","?","?","morgan kauf mann","?","fahlman 1988 faster learning variations on backpropagation an empirical study","?","?","?"
"san mateo","fahlman s e","fahlman s e","in proceedings of the 1988 connectionist models summer school","1989","eds d s touretzky g hinton and t","?","?","?","?","pp 38 51","morgan kauffmann","?","fast learning variations on backpropagation an empirical study","?","?","?"
"?","scott fahlman","scott fahlman","in proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","?","morgan kaufmann","?","faster learning variations on back propagation an empirical study","?","?","?"
"?","s e fahlman","s e fahlman","?","?","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","scott e fahlman","scott e fahlman","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","computer science dept","?","?","?","?","?","technical report cmu cs 88 162 carnegie mellon university","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburg pa","fahlman s e","fahlman s e","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 182","an empirical study of learning speed in backpropagation networks","?","?","?"
"?","fahlman s e","fahlman s e","?","1988","?","carnegie mel lon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","computer science department carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","computer science department carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","computer science department carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa 15213","fahlman s e","fahlman s e","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","?","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report","1988 an empirical study of learning speed in backpropagation networks cmu cs 88 162","?","?","?"
